index	r_work	r_free
0	0.3278	0.3016
1	0.2425	0.2095
2	0.1958	0.1795
3	0.1816	0.1648
4	0.1801	0.1645
5	0.1799	0.1647
6	0.1747	0.1536
7	0.1637	0.1484
8	0.1626	0.1459
9	0.1617	0.1451
10	0.1616	0.1448
11	0.1616	0.1447
12	0.1616	0.1445
13	0.1607	0.1422
14	0.1541	0.1394
15	0.1551	0.14
16	0.1554	0.1415
17	0.1558	0.1429
18	0.1557	0.143
19	0.1557	0.1431
20	0.1539	0.1416
21	0.1478	0.1491
22	0.1481	0.1475
23	0.1483	0.1483
24	0.1486	0.1493
25	0.148	0.1456
26	0.1458	0.1483
27	0.146	0.1478
28	0.1463	0.1491
29	0.1466	0.1487
30	0.1465	0.1487
31	0.2425	0.2095
32	0.1461	0.1483
